Timestamp,Value,ValueStatus,ExportType,TimestampPrecisionType,IncludeBadValues,TotalEvents,TotalGoodValues,TotalBadValues,LowestFrequency,HighestFrequency,AverageFrequency,DigitalSet,ExceptionDeviation,ExceptionMaximum,ExceptionMinimum,ExceptionPercentage,Span,Zero,EngineeringUnits,Compressing,Step,CompressionDeviation,CompressionMaximum,CompressionMinimum,CompressionPercentage,IsOutlier
2025-03-24 16:07:00+00:00,1244.0686,1.0,2.0,1.0,1.0,1846437.0,1846335.0,102.0,0.0,0.1,0.0331844698930296,,0.0,0.0,0.0,0.0,100.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,True
2025-03-24 16:08:00+00:00,1244.2216,1.0,2.0,1.0,1.0,1846437.0,1846335.0,102.0,0.0,0.1,0.0331844698930296,,0.0,0.0,0.0,0.0,100.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,True
2025-03-24 16:09:00+00:00,1244.2150000000001,1.0,2.0,1.0,1.0,1846437.0,1846335.0,102.0,0.0,0.1,0.0331844698930296,,0.0,0.0,0.0,0.0,100.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,True
2025-03-24 16:10:00+00:00,1244.1511666666668,1.0,2.0,1.0,1.0,1846437.0,1846335.0,102.0,0.0,0.10000000000000002,0.0331844698930296,,0.0,0.0,0.0,0.0,100.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,True
2025-03-24 16:11:00+00:00,1244.0944,1.0,2.0,1.0,1.0,1846437.0,1846335.0,102.0,0.0,0.1,0.0331844698930296,,0.0,0.0,0.0,0.0,100.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,True
2025-03-24 16:12:00+00:00,1243.7911666666666,1.0,2.0,1.0,1.0,1846437.0,1846335.0,102.0,0.0,0.10000000000000002,0.0331844698930296,,0.0,0.0,0.0,0.0,100.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,True
2025-03-24 16:13:00+00:00,1243.86525,1.0,2.0,1.0,1.0,1846437.0,1846335.0,102.0,0.0,0.1,0.0331844698930296,,0.0,0.0,0.0,0.0,100.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,True
2025-03-24 16:14:00+00:00,1243.9501666666667,1.0,2.0,1.0,1.0,1846437.0,1846335.0,102.0,0.0,0.10000000000000002,0.0331844698930296,,0.0,0.0,0.0,0.0,100.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,True
2025-03-24 16:15:00+00:00,1243.738,1.0,2.0,1.0,1.0,1846437.0,1846335.0,102.0,0.0,0.1,0.0331844698930296,,0.0,0.0,0.0,0.0,100.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,True
2025-03-24 16:16:00+00:00,1243.649,1.0,2.0,1.0,1.0,1846437.0,1846335.0,102.0,0.0,0.1,0.0331844698930296,,0.0,0.0,0.0,0.0,100.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,True
2025-03-24 16:17:00+00:00,1243.59,1.0,2.0,1.0,1.0,1846437.0,1846335.0,102.0,0.0,0.10000000000000002,0.0331844698930296,,0.0,0.0,0.0,0.0,100.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,True
2025-03-24 16:18:00+00:00,1243.6743333333334,1.0,2.0,1.0,1.0,1846437.0,1846335.0,102.0,0.0,0.10000000000000002,0.0331844698930296,,0.0,0.0,0.0,0.0,100.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,True
2025-03-24 16:19:00+00:00,1243.522,1.0,2.0,1.0,1.0,1846437.0,1846335.0,102.0,0.0,0.1,0.0331844698930296,,0.0,0.0,0.0,0.0,100.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,True
2025-03-24 16:20:00+00:00,1243.2930000000001,1.0,2.0,1.0,1.0,1846437.0,1846335.0,102.0,0.0,0.1,0.0331844698930296,,0.0,0.0,0.0,0.0,100.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,True
2025-03-24 16:21:00+00:00,1243.6744,1.0,2.0,1.0,1.0,1846437.0,1846335.0,102.0,0.0,0.1,0.0331844698930296,,0.0,0.0,0.0,0.0,100.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,True
2025-03-24 16:22:00+00:00,1243.5635,1.0,2.0,1.0,1.0,1846437.0,1846335.0,102.0,0.0,0.1,0.0331844698930296,,0.0,0.0,0.0,0.0,100.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,True
2025-03-24 16:23:00+00:00,1243.5896666666667,1.0,2.0,1.0,1.0,1846437.0,1846335.0,102.0,0.0,0.10000000000000002,0.0331844698930296,,0.0,0.0,0.0,0.0,100.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,True
2025-03-24 16:24:00+00:00,1243.547,1.0,2.0,1.0,1.0,1846437.0,1846335.0,102.0,0.0,0.1,0.0331844698930296,,0.0,0.0,0.0,0.0,100.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,True
2025-03-24 16:25:00+00:00,1243.19775,1.0,2.0,1.0,1.0,1846437.0,1846335.0,102.0,0.0,0.1,0.0331844698930296,,0.0,0.0,0.0,0.0,100.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,True
2025-03-24 16:26:00+00:00,1243.1660000000002,1.0,2.0,1.0,1.0,1846437.0,1846335.0,102.0,0.0,0.1,0.0331844698930296,,0.0,0.0,0.0,0.0,100.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,True
2025-03-24 16:27:00+00:00,1243.2933333333333,1.0,2.0,1.0,1.0,1846437.0,1846335.0,102.0,0.0,0.10000000000000002,0.0331844698930296,,0.0,0.0,0.0,0.0,100.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,True
2025-03-24 16:28:00+00:00,1243.2676,1.0,2.0,1.0,1.0,1846437.0,1846335.0,102.0,0.0,0.1,0.0331844698930296,,0.0,0.0,0.0,0.0,100.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,True
2025-03-24 16:29:00+00:00,1243.166,1.0,2.0,1.0,1.0,1846437.0,1846335.0,102.0,0.0,0.1,0.0331844698930296,,0.0,0.0,0.0,0.0,100.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,True
2025-03-24 16:30:00+00:00,1243.0175000000002,1.0,2.0,1.0,1.0,1846437.0,1846335.0,102.0,0.0,0.10000000000000002,0.0331844698930296,,0.0,0.0,0.0,0.0,100.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,True
2025-03-24 16:31:00+00:00,1243.29325,1.0,2.0,1.0,1.0,1846437.0,1846335.0,102.0,0.0,0.1,0.0331844698930296,,0.0,0.0,0.0,0.0,100.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,True
2025-03-24 16:32:00+00:00,1242.848,1.0,2.0,1.0,1.0,1846437.0,1846335.0,102.0,0.0,0.10000000000000002,0.0331844698930296,,0.0,0.0,0.0,0.0,100.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,True
